entity_name,year,unr,gdp,cpi,inr,exr,d_gdp,d_cpi,d_unr,v_exr,v_inr
Brazil,2003,11.17,1.141,9.3,16.5,3.077475118478015,NA,NA,NA,NA,NA
Brazil,2004,10.07,5.76,7.601,17.75,2.925119449515862,4.619,-1.6990000000000007,-1.0999999999999996,-0.049506710240276974,0.07575757575757569
Brazil,2005,10.55,3.202,5.69,18,2.434390036231884,-2.558,-1.9109999999999996,0.4800000000000004,-0.16776388853631208,0.014084507042253502
Brazil,2006,9.69,3.962,3.142,13.25,2.175326666666666,0.7600000000000002,-2.5480000000000005,-0.8600000000000012,-0.10641818513446366,-0.26388888888888884
Brazil,2007,9.28,6.07,4.457,11.25,1.947058333333333,2.108,1.315,-0.41000000000000014,-0.10493519747225699,-0.15094339622641506
Brazil,2008,8.27,5.094,5.902,13.75,1.833766666666667,-0.976,1.4450000000000003,-1.0099999999999998,-0.058186067015625786,0.22222222222222232
Brazil,2009,9.42,-0.126,4.312,8.75,1.999428173144258,-5.220000000000001,-1.5899999999999999,1.1500000000000004,0.09033946874970877,-0.36363636363636365
Brazil,2010,8.034,7.528,5.909,10.75,1.759226710587178,7.654,1.5969999999999995,-1.3859999999999992,-0.12013507951093061,0.22857142857142865
Brazil,2011,7.58,3.974,6.503,11,1.672828755256592,-3.5539999999999994,0.5940000000000003,-0.4540000000000006,-0.04911132534006879,0.023255813953488413
Brazil,2012,6.9,1.921,5.839,7.25,1.953068611124869,-2.053,-0.6639999999999997,-0.6799999999999997,0.16752453291328773,-0.34090909090909094
Brazil,2013,7.225,3.005,5.911,10,2.156089151263111,1.0839999999999999,0.07199999999999918,0.3249999999999993,0.10394951768812288,0.3793103448275863
Brazil,2014,6.9,0.504,6.408,11.75,2.352951962766688,-2.501,0.4970000000000008,-0.3249999999999993,0.0913055062626924,0.17500000000000004
Brazil,2015,8.625,-3.546,10.673,14.25,3.326904382768792,-4.05,4.265,1.7249999999999996,0.4139278809827016,0.2127659574468086
Brazil,2016,11.65,-3.276,6.288,13.75,3.491313421572705,0.27,-4.385,3.0250000000000004,0.04941802345010138,-0.03508771929824561
Brazil,2017,12.85,1.323,2.947,7,3.19138944630048,4.599,-3.341,1.1999999999999993,-0.08590577214265693,-0.49090909090909096
Brazil,2018,12.375,1.784,3.745,6.5,3.653825361457552,0.4610000000000001,0.798,-0.47499999999999964,0.1449011231434436,-0.0714285714285714
Brazil,2019,11.975,1.221,4.306,4.5,3.944471097250702,-0.563,0.5609999999999999,-0.40000000000000036,0.07954560140148792,-0.3076923076923077
Brazil,2020,13.775,-3.277,4.517,2,5.155178787512808,-4.498,0.2110000000000003,1.8000000000000007,0.30693790381832686,-0.5555555555555556
Brazil,2021,13.2,4.763,10.061,9.25,5.39440078962503,8.04,5.544,-0.5750000000000011,0.046404210595310635,3.625
Brazil,2022,9.25,3.017,5.785,13.75,5.163970291021112,-1.746,-4.276,-3.9499999999999993,-0.042716607013535524,0.4864864864864864
Brazil,2023,7.975,3.242,4.621,11.75,4.99437976287199,0.2250000000000001,-1.1639999999999997,-1.2750000000000004,-0.03284111228215214,-0.1454545454545455
Brazil,2024,6.925,3.396,4.831,12.25,5.388934905709595,0.15399999999999991,0.20999999999999996,-1.0499999999999998,0.07899982812094342,0.042553191489361764
Chile,2003,9.533,4.723,1.073,2.25,691.3975,1.327,-3.7580000000000005,2.6079999999999997,127.29947143496983,-0.8163265306122449
Chile,2004,10.017,6.674,2.428,2.25,609.5291666666668,1.9510000000000005,1.355,0.484,-0.1184099354327044,0
Chile,2005,9.3,5.837,3.659,4.5,559.7675,-0.8370000000000006,1.2309999999999999,-0.7169999999999987,-0.08163951684018422,1
Chile,2006,7.95,6.05,2.57,5.25,530.2750000000002,0.21300000000000008,-1.089,-1.3500000000000005,-0.05268705310686994,0.16666666666666674
Chile,2007,7.008,5.168,7.829,6,522.4641666666668,-0.8819999999999997,5.259,-0.9420000000000002,-0.014729778574010588,0.1428571428571428
Chile,2008,7.75,3.789,7.089,8.25,522.4610358333335,-1.379,-0.7399999999999993,0.742,-5.992436482693542e-6,0.375
Chile,2009,11.053,-1.118,-1.483,0.5,560.8598948412698,-4.907,-8.572000000000001,3.303000000000001,0.0734961200440325,-0.9393939393939394
Chile,2010,8.305,5.852,2.98,3.25,510.2491666666668,6.970000000000001,4.463,-2.748000000000001,-0.09023773787378131,5.5
Chile,2011,7.3,6.224,4.432,5.25,483.6675,0.3719999999999999,1.4520000000000004,-1.005,-0.05209546316423852,0.6153846153846154
Chile,2012,6.595,6.155,1.483,5,486.4713033910535,-0.06899999999999995,-2.9490000000000003,-0.7050000000000001,0.005796964631804791,-0.04761904761904767
Chile,2013,6.082,3.309,3.024,4.5,495.2728776455028,-2.846,1.541,-0.5129999999999999,0.018092689523710792,-0.09999999999999998
Chile,2014,6.495,1.793,4.64,3,570.3482161274399,-1.5160000000000002,1.6159999999999997,0.41300000000000026,0.1515837871818071,-0.33333333333333337
